session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Industry,Nationality,Sex,Student Status
6126a9678378ffcfbdf5b869,6112d26181fd4056a6f275e0,APPROVED,2021-08-25 20:34:51.166000,2021-08-25 20:41:18.204000,387.038,34,38,1,99,2021-08-26 00:59:49.892000,9EC36FE2,United States,United States,Part-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6126ab1a5a65dc0910ad191a,61008433043513828c95b4f7,APPROVED,2021-08-25 20:42:04.490000,2021-08-25 21:04:23.578000,1339.088,19,52,0,100,2021-08-26 00:59:49.947000,9EC36FE2,United States,United States,Part-Time,English,English,Real Estate Rental and Leasing,United States,Female,Yes
6126c0ba4e8e21f2d937f655,6112b216249f50def8ed8d60,APPROVED,2021-08-25 22:14:20.761000,2021-08-25 22:20:25.407000,364.646,26,74,1,100,2021-08-26 00:59:50,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6126c165e0fe7c481e636b4f,6110ce5a05a190c6f2bd9fe4,APPROVED,2021-08-25 22:17:14.093000,2021-08-25 22:27:56.645000,642.552,20,63,0,100,2021-08-26 00:59:50.056000,9EC36FE2,United States,United States,Part-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6126c9902b936e7aed78a318,60ff2f00d86ba41274e66ff9,APPROVED,2021-08-25 22:52:44.168000,2021-08-25 22:58:07.033000,322.865,23,89,0,100,2021-08-26 00:59:50.134000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6126d1cab522b44c04fea0a1,5e38e49a8445881060c60eaf,APPROVED,2021-08-25 23:27:12.420000,2021-08-25 23:46:21.002000,1148.582,49,705,9,97,2021-08-26 00:59:50.190000,9EC36FE2,United States,United States,Part-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6126e9be8bcfd893b4b264c7,5c82a8cdfff8430015e9942f,APPROVED,2021-08-26 01:09:18.070000,2021-08-26 01:15:04.139000,346.069,34,1752,0,100,2021-08-26 14:37:09.413000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Male,No
6126f30814e4dafdc3492d34,6108796994756f00c4913453,APPROVED,2021-08-26 01:49:01.970000,2021-08-26 01:55:59.595000,417.625,27,27,0,100,2021-08-26 14:37:09.485000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6126fb4935e4dfbf43fb5e06,60c7993ae27e383b79729c3d,APPROVED,2021-08-26 02:25:39.287000,2021-08-26 02:39:41.869000,842.582,33,105,0,100,2021-08-26 14:37:09.552000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61273d11d54cbb9732ce096c,5f4baaa7a1cde577b7149b50,APPROVED,2021-08-26 07:04:59.918000,2021-08-26 07:41:54.298000,2214.38,28,385,0,100,2021-08-26 14:37:09.622000,9EC36FE2,United States,United States,DATA EXPIRED,English,English,Real Estate Rental and Leasing,United States,Male,DATA EXPIRED
612787f98a328bf2e0ba3927,5d37c9cf6e3b4f0016f2ebe5,APPROVED,2021-08-26 12:24:27.298000,2021-08-26 12:32:56.408000,509.11,31,997,7,99,2021-08-26 14:37:09.700000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Male,No
61278cc79c99635d4e1f5ff9,60fee897a8024435bf25bcff,APPROVED,2021-08-26 12:45:01.535000,2021-08-26 12:52:07.797000,426.262,22,55,2,96,2021-08-26 14:37:09.780000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61278e77baf68a051d27b287,6111b790e6c59555421f3b82,TIMED-OUT,2021-08-26 12:52:07.145000,,973367.483902,27,2,0,100,,,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
612791fbe0be3471ecd22b73,610d780a69de1c9eebfc2700,APPROVED,2021-08-26 13:07:33.421000,2021-08-26 13:18:33.676000,660.255,30,59,0,100,2021-08-26 14:37:09.860000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Male,No
61279986d3d32a3ff760901d,61116fa0d9fd46ba1427122a,APPROVED,2021-08-26 13:39:53.837000,2021-08-26 13:49:18.681000,564.844,29,57,0,100,2021-08-26 14:37:09.931000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6127a737714eb4435fa46b45,61083e50d5c3a0c8c5d9c10d,APPROVED,2021-08-26 14:37:47.232000,2021-08-26 14:45:17.016000,449.784,37,78,0,100,2021-08-26 17:38:03.447000,9EC36FE2,Brazil,United States,Full-Time,Portuguese,"English, Portuguese",Real Estate Rental and Leasing,United States,Female,No
6127ab8ba3d400c180012d48,60fdb943e189aa12ae3d9e3e,APPROVED,2021-08-26 14:56:12.986000,2021-08-26 15:01:43.312000,330.326,28,51,0,100,2021-08-26 17:38:03.521000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6127b4b7829d3561686486b0,6108b0ab3cf673f576b3d851,APPROVED,2021-08-26 15:43:31.440000,2021-08-26 15:51:56.950000,505.51,20,62,0,100,2021-08-26 17:38:03.587000,9EC36FE2,United States,United States,Part-Time,English,English,Real Estate Rental and Leasing,United States,Female,Yes
6127ccc43d26740106af1d2e,61078a5d2ad96bbf0a352dd1,APPROVED,2021-08-26 17:17:59.466000,2021-08-26 17:28:56.763000,657.297,31,29,0,100,2021-08-26 17:38:03.656000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
6127ce4b03c3ca14b134fa69,60ff2c00fe79baf13471c680,APPROVED,2021-08-26 17:24:27.952000,2021-08-26 17:32:35.936000,487.984,22,14,0,100,2021-08-26 17:38:03.722000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
